horizon,model,date,equity
t+1,buy_and_hold,2021-04-01,10000.0
t+1,buy_and_hold,2021-04-05,10199.648160487413
t+1,buy_and_hold,2021-04-06,10192.562463795433
t+1,buy_and_hold,2021-04-07,10217.210082949543
t+1,buy_and_hold,2021-04-08,10323.812397520875
t+1,buy_and_hold,2021-04-09,10386.356649311376
t+1,buy_and_hold,2021-04-12,10372.80111736202
t+1,buy_and_hold,2021-04-13,10493.884164594176
t+1,buy_and_hold,2021-04-14,10367.871402843863
t+1,buy_and_hold,2021-04-15,10525.001617891872
t+1,buy_and_hold,2021-04-16,10537.326367331481
t+1,buy_and_hold,2021-04-19,10440.890936748141
t+1,buy_and_hold,2021-04-20,10364.790215955685
t+1,buy_and_hold,2021-04-21,10453.523148745056
t+1,buy_and_hold,2021-04-22,10327.510383058301
t+1,buy_and_hold,2021-04-23,10457.528597212717
t+1,buy_and_hold,2021-04-26,10525.618422813972
t+1,buy_and_hold,2021-04-27,10480.019292903175
t+1,buy_and_hold,2021-04-28,10444.58798844447
t+1,buy_and_hold,2021-04-29,10482.17621900161
t+1,buy_and_hold,2021-04-30,10413.469592117912
t+1,buy_and_hold,2021-05-03,10358.01197688685
t+1,buy_and_hold,2021-05-04,10171.611893107747
t+1,buy_and_hold,2021-05-05,10137.412310004182
t+1,buy_and_hold,2021-05-06,10213.821431419383
t+1,buy_and_hold,2021-05-07,10296.700391209513
t+1,buy_and_hold,2021-05-10,10036.663971619984
t+1,buy_and_hold,2021-05-11,10022.79909808991
t+1,buy_and_hold,2021-05-12,9763.379470977696
t+1,buy_and_hold,2021-05-13,9838.86339434852
t+1,buy_and_hold,2021-05-14,10056.074421492534
t+1,buy_and_hold,2021-05-17,9995.070292840397
t+1,buy_and_hold,2021-05-18,9927.596329150301
t+1,buy_and_hold,2021-05-19,9938.995876094323
t+1,buy_and_hold,2021-05-20,10131.249945205807
t+1,buy_and_hold,2021-05-21,10075.176472478957
t+1,buy_and_hold,2021-05-24,10244.631431023698
t+1,buy_and_hold,2021-05-25,10258.803765276907
t+1,buy_and_hold,2021-05-26,10294.5434716655
t+1,buy_and_hold,2021-05-27,10256.030979694417
t+1,buy_and_hold,2021-05-28,10288.381097425963
t+1,buy_and_hold,2021-06-01,10254.1824546802
t+1,buy_and_hold,2021-06-02,10274.208762881552
t+1,buy_and_hold,2021-06-03,10167.298048864946
t+1,buy_and_hold,2021-06-04,10339.834211034955
t+1,buy_and_hold,2021-06-07,10370.644204912353
t+1,buy_and_hold,2021-06-08,10375.57391670285
t+1,buy_and_hold,2021-06-09,10378.038302468394
t+1,buy_and_hold,2021-06-10,10486.181687191101
t+1,buy_and_hold,2021-06-11,10513.60209406379
t+1,buy_and_hold,2021-06-14,10614.35137852891
t+1,buy_and_hold,2021-06-15,10545.028890051917
t+1,buy_and_hold,2021-06-16,10506.516398290929
t+1,buy_and_hold,2021-06-17,10639.923263943345
t+1,buy_and_hold,2021-06-18,10556.428447611379
t+1,buy_and_hold,2021-06-21,10609.729138147382
t+1,buy_and_hold,2021-06-22,10708.629898071164
t+1,buy_and_hold,2021-06-23,10713.867070692551
t+1,buy_and_hold,2021-06-24,10780.10931232646
t+1,buy_and_hold,2021-06-25,10766.860300227821
t+1,buy_and_hold,2021-06-28,10897.80277340261
t+1,buy_and_hold,2021-06-29,10937.239527291022
t+1,buy_and_hold,2021-06-30,10919.986006240862
t+1,buy_and_hold,2021-07-01,10924.299856885118
t+1,buy_and_hold,2021-07-02,11049.696757289626
t+1,buy_and_hold,2021-07-06,11097.451872733645
t+1,buy_and_hold,2021-07-07,11120.867770084817
t+1,buy_and_hold,2021-07-08,11053.701266919714
t+1,buy_and_hold,2021-07-09,11122.716295617212
t+1,buy_and_hold,2021-07-12,11166.158499020295
t+1,buy_and_hold,2021-07-13,11166.158499020295
t+1,buy_and_hold,2021-07-14,11186.18480710367
t+1,buy_and_hold,2021-07-15,11107.618760009951
t+1,buy_and_hold,2021-07-16,11017.65410085739
t+1,buy_and_hold,2021-07-19,10927.381040585089
t+1,buy_and_hold,2021-07-20,11054.31806790738
t+1,buy_and_hold,2021-07-21,11139.66141456932
t+1,buy_and_hold,2021-07-22,11213.29775160262
t+1,buy_and_hold,2021-07-23,11344.240230406793
t+1,buy_and_hold,2021-07-26,11353.174451527715
t+1,buy_and_hold,2021-07-27,11228.085951691282
t+1,buy_and_hold,2021-07-28,11271.219755273925
t+1,buy_and_hold,2021-07-29,11291.247003358954
t+1,buy_and_hold,2021-07-30,11232.399804213192
t+1,buy_and_hold,2021-08-02,11233.324066457448
t+1,buy_and_hold,2021-08-03,11301.41389187299
t+1,buy_and_hold,2021-08-04,11317.743151541781
t+1,buy_and_hold,2021-08-05,11389.53096508716
t+1,buy_and_hold,2021-08-06,11339.617984928062
t+1,buy_and_hold,2021-08-09,11360.569495910653
t+1,buy_and_hold,2021-08-10,11302.33815367345
