date,actual,predicted,abs_error,headlines
2022-03-11,-0.019204626,0.11058089,0.12978552,"The global supply chain’s pandemic recovery is another casualty of Russia’s invasion of Ukraine. | The far right complains after the search engine DuckDuckGo vows to limit Russian propaganda. | The U.S. and the E.U., aiming to punish oligarchs, ban luxury exports to Russia. | China Has Tools to Help Russia’s Economy. None Are Big Enough to Save It. | Boycotts, Not Bombs: Sanctions Are a Go-To Tactic, With Uneven Results"
2022-05-23,-0.021262167,0.105631225,0.12689339,"Workers at an Activision studio vote to unionize, a first for the gaming industry. | Limits on borrowing would remain suspended to help E.U. countries respond to war. | HSBC distances itself from comments by an executive downplaying climate risks. | JPMorgan expects to make money from rising interest rates and bumpy markets. | Russian-Speaking Technologists Rebuild Their Lives in a San Francisco Home"
2022-05-17,-0.049090367,0.07724346,0.12633383,"Twitter presses forward with Musk, with more details about the back story to the deal. | Powell says the Fed is watching for ‘clear and convincing’ signs of inflation fading. | After Raising $90 Million in 2020, Black Lives Matter Has $42 Million in Assets | Elon Musk says Twitter deal ‘cannot move forward’ without more information. | Allianz subsidiary pleads guilty over a $7 billion investment implosion."
2022-03-10,-0.020738356,0.10449615,0.12523451,"Iraqi minister says high oil prices, if they last, could speed the shift to E.V.s. | Europe prepares for reverberations of war: a slower economy and faster inflation. | United Airlines workers with vaccine exemptions can return to their regular jobs. | Justice Dept. names a director to pursue cases of Covid-19 relief fraud. | Spirit-Frontier merger could hurt airline competition, legislators say."
2022-10-13,-0.03005735,0.09323467,0.12329202,"Elizabeth Warren Singles Out Wells Fargo for ‘Alarming Pattern’ of Zelle Fraud | Gas prices fall slightly, but overall energy costs are soon expected to rise. | Google’s Move to Include Truth Social in App Store Buoys Investor Confidence | Social Security Cost-of-Living Increase Could Strain the Program’s Solvency | Delta Earnings Are Solid as Airline Signals Optimism on Travel Demand"
2022-06-15,-0.04034644,0.079258315,0.11960475,"As Crypto Tanks, Tech Veterans Question Blockchain’s Promise of Economic Salvation | Infants Died in Fisher-Price Seats That Are Not for Sleep, Safety Commission Said | Real estate companies lay off workers amid ‘clear signals’ of a housing downturn. | What the Fed’s rate increase means for credit cards, car loans and student loans. | Federal Reserve Takes Swing at Inflation With Largest Rate Increase Since 1994"
2022-03-04,-0.036881123,0.08257772,0.11945884,Russia’s War Prompts a Pitch for ‘Socially Responsible’ Military Stocks | Luxury giants LVMH and Hermès will close stores in Russia temporarily. | Stocks slide as concern about Ukraine trumps the strong jobs report. | Volunteer Hackers Converge on Ukraine Conflict With No One in Charge | The F.D.A. rejects an India-made Covid vaccine for those under 18.
2022-03-09,-0.011104813,0.10168703,0.11279184,"Russia’s ruble continues its slide as new curbs restrict access to foreign currency. | Here Are Some of the Companies That Have Pledged to Stop Business in Russia | Employers are still scrambling to fill vacancies, a new U.S. report shows. | Disney C.E.O. Says Company Is ‘Opposed’ to Florida’s ‘Don’t Say Gay’ Bill | Elizabeth Holmes’s Ex-Boyfriend Hopes to Escape the Verdict She Didn’t"
2022-01-26,-0.010070526,0.09123811,0.10130864,"Boeing posts a $4.2 billion quarterly loss as delays persist in 787 production. | The I.M.F. urges El Salvador to end its embrace of crypto as Bitcoin tumbles. | Fed Signals Rate Increase in March, Citing Inflation and Strong Job Market | Tesla reports record yearly profit but warns that supply problems persist. | The federal consumer bureau wants to stamp out what it calls ‘junk fees.’"
2022-03-07,-0.0046480927,0.094868876,0.099516965,"Switzerland joined in sanctions, but Russia’s oil, metals and grains still trade there. | Congress moves to bar Russian energy imports and end favorable trade relations. | Stocks extend their rout as the Ukraine war and its economic fallout intensify. | Take a closer look at why American mask makers are going out of business. | Russia, Blocked From the Global Internet, Plunges Into Digital Isolation"
