feature,delta_mse_mean,delta_mse_std
MACD,0.00010744666603083412,1.1266429429535087e-05
High,6.905524060130119e-06,1.2215310219056202e-06
headline_count,5.624082405120134e-06,1.5370609003588045e-06
Open,5.357821161548297e-06,2.7302730981277596e-06
finbert_positive,1.2198967548708122e-06,1.2425834495858454e-06
Close,9.535579010844231e-07,1.3778786971105034e-06
Low,7.326792304714521e-07,1.5260475333655979e-06
net_sentiment_ma7,2.2241147235035896e-07,4.603523557138698e-07
finbert_confidence,1.1996598914265633e-07,2.928472137489915e-07
Volume,3.5060414423545204e-08,1.161857313775168e-07
no_news_flag,0.0,0.0
finbert_negative,-5.935241157809893e-08,5.760608836480194e-07
finbert_neutral,-3.4676243861516315e-07,8.08508996471822e-08
net_sentiment_ma3,-1.3450626283884048e-06,3.13044483897781e-07
