model,horizon,n,hit_within_$1,hit_within_$3,hit_within_$5,hit_within_$10
persistence,t+1,939,0.2055378061767838,0.5133120340788072,0.7177848775292864,0.946751863684771
persistence,t+3,939,0.09691160809371673,0.3109691160809372,0.4749733759318424,0.7742279020234292
persistence,t+5,939,0.06922257720979766,0.2215122470713525,0.3652822151224707,0.6443024494142705
baseline,t+1,939,0.059637912673056445,0.18636847710330137,0.34717784877529284,0.6943556975505857
baseline,t+3,939,0.09158679446219382,0.268370607028754,0.44195953141640043,0.7231096911608094
baseline,t+5,939,0.0724174653887114,0.19275825346112885,0.3184238551650692,0.5623003194888179
mohamed_v1,t+1,939,0.15228966986155484,0.41533546325878595,0.6389776357827476,0.9179978700745474
mohamed_v1,t+3,939,0.09904153354632587,0.2566560170394036,0.4249201277955272,0.7092651757188498
mohamed_v1,t+5,939,0.0777422790202343,0.24494142705005326,0.3759318423855165,0.6400425985090522
mohamed_v2,t+1,939,0.2012779552715655,0.49307774227902024,0.6922257720979765,0.939297124600639
mohamed_v2,t+3,939,0.08732694355697551,0.2641107561235357,0.40894568690095845,0.7252396166134185
mohamed_v2,t+5,939,0.06283280085197018,0.21299254526091588,0.37273695420660274,0.6528221512247071
